Age	Height	Club_country	Nation_team	Position	Captain	Cost	Minutes_in_game	Games_count	Goals_count
Dec 14, 1996 (27)	1,76 m	Spain	Brazil	Right Winger	False	€60.00m Last update: Oct 11, 2024	931'	11	6
Apr 27, 1998 (26)	1,85 m	England	Argentina	Centre-Back	False	€65.00m Last update: Jul 19, 2024	720'	8	1
Aug 6, 1997 (27)	1,92 m	Italy	France	Centre-Forward	False	€65.00m Last update: Jun 5, 2024	618'	8	7
Oct 31, 1997 (26)	1,85 m	England	England	Left Winger	False	€60.00m Last update: May 27, 2024	754'	11	4
Mar 8, 2006 (18)	1,78 m	France	France	Central Midfield	False	€60.00m Last update: Jun 3, 2024	689'	8	1
Mar 18, 1997 (27)	1,88 m	Italy	Brazil	Centre-Back	False	€60.00m Last update: Jun 5, 2024	637'	8	-
Feb 2, 1999 (25)	1,81 m	Spain	Spain	Defensive Midfield	False	€60.00m Last update: Oct 11, 2024	855'	10	1
Jan 18, 1998 (26)	1,86 m	Spain	Brazil	Centre-Back	False	€60.00m Last update: Jun 7, 2024	921'	12	1
Oct 6, 1997 (27)	1,84 m	Italy	France	Left-Back	False	€60.00m Last update: Jun 5, 2024	665'	9	2
Jun 29, 1998 (26)	1,78 m	England	England	Attacking Midfield	False	€60.00m Last update: Oct 1, 2024	810'	9	3
Feb 24, 2001 (23)	1,83 m	England	England	Left Winger	False	€60.00m Last update: May 27, 2024	659'	9	2
Sep 27, 2004 (20)	1,74 m	France	Portugal	Defensive Midfield	False	€60.00m Last update: Oct 7, 2024	645'	9	-
Feb 16, 2000 (24)	1,77 m	Germany	Belgium	Centre-Forward	False	€60.00m Last update: May 29, 2024	743'	9	5
May 7, 1998 (26)	1,79 m	Spain	Spain	Attacking Midfield	False	€60.00m Last update: Jul 18, 2024	189'	3	3
Nov 14, 1997 (26)	1,77 m	England	France	Centre-Forward	False	€65.00m Last update: May 27, 2024	430'	11	7
Dec 30, 1995 (28)	1,80 m	England	England	Centre-Forward	False	€65.00m Last update: May 27, 2024	666'	9	4
Sep 8, 1994 (30)	1,79 m	England	Portugal	Attacking Midfield	True	€65.00m Last update: Oct 1, 2024	860'	11	-
Jan 11, 1996 (28)	1,83 m	Germany	Germany	Right Winger	False	€60.00m Last update: Oct 9, 2024	78'	4	1
May 11, 2003 (21)	1,74 m	Spain	Spain	Central Midfield	False	€50.00m Last update: Oct 11, 2024	57'	3	-
Apr 10, 2004 (20)	1,76 m	England	Brazil	Right Winger	False	€50.00m Last update: Jun 7, 2024	500'	9	-
Apr 3, 1997 (27)	1,75 m	England	Brazil	Centre-Forward	False	€55.00m Last update: Oct 1, 2024	243'	8	-
Aug 16, 2001 (23)	1,95 m	England	Belgium	Defensive Midfield	False	€55.00m Last update: Oct 1, 2024	637'	9	3
Mar 9, 2000 (24)	1,73 m	England	Portugal	Right Winger	False	€55.00m Last update: May 27, 2024	441'	10	2
Jul 7, 1999 (25)	1,70 m	Saudi Arabia	France	Right Winger	False	€55.00m Last update: May 27, 2024	559'	7	-
Apr 19, 2005 (19)	1,80 m	England	England	Central Midfield	False	€55.00m Last update: Jul 18, 2024	644'	9	-
Nov 13, 2005 (18)	1,90 m	England	France U23	Centre-Back	False	€55.00m Last update: Oct 1, 2024			
Sep 26, 2001 (23)	1,88 m	England	Brazil	Centre-Forward	False	€50.00m Last update: Oct 1, 2024	281'	4	2
Jun 15, 1992 (32)	1,75 m	England	Egypt	Right Winger	False	€55.00m Last update: May 27, 2024	817'	10	6
Aug 27, 1997 (27)	1,80 m	England	Brazil	Attacking Midfield	False	€55.00m Last update: Oct 1, 2024	591'	9	2
Feb 26, 2003 (21)	1,87 m	England	England	Centre-Back	False	€50.00m Last update: May 27, 2024	630'	7	-
May 31, 2003 (21)	1,95 m	Germany	Slovenia	Centre-Forward	False	€50.00m Last update: May 29, 2024	685'	9	6
May 3, 2004 (20)	1,88 m	Germany	Germany	Defensive Midfield	False	€50.00m Last update: Oct 9, 2024	657'	8	1
Apr 25, 2000 (24)	1,86 m	England	Sweden	Attacking Midfield	False	€55.00m Last update: May 27, 2024	614'	10	1
Oct 8, 1997 (27)	1,86 m	England	England	Right-Back	False	€55.00m Last update: May 27, 2024	495'	6	-
Feb 13, 2000 (24)	1,72 m	France	Portugal	Central Midfield	False	€55.00m Last update: Jul 18, 2024	486'	7	1
Apr 19, 2001 (23)	1,93 m	England	Netherlands	Centre-Back	False	€55.00m Last update: May 27, 2024	621'	7	-
Jul 1, 2004 (20)	1,80 m	England	Argentina	Left Winger	False	€50.00m Last update: Oct 1, 2024	593'	11	4
Jun 19, 2002 (22)	1,83 m	France	Portugal	Left-Back	False	€55.00m Last update: Jun 3, 2024	430'	6	1
Nov 12, 1998 (25)	1,80 m	Spain	France	Right-Back	False	€55.00m Last update: Oct 11, 2024	923'	11	1
May 7, 1999 (25)	1,93 m	England	Netherlands	Left Winger	False	€55.00m Last update: Jul 18, 2024	383'	10	2
Aug 12, 1999 (25)	1,89 m	England	Netherlands	Centre-Back	False	€55.00m Last update: Oct 1, 2024	492'	9	1
Sep 10, 1995 (29)	1,80 m	England	England	Left Winger	False	€55.00m Last update: Oct 1, 2024	522'	9	-
Dec 23, 2000 (23)	1,90 m	Germany	Nigeria	Centre-Forward	False	€45.00m Last update: Oct 9, 2024	593'	9	6
Feb 28, 1998 (26)	1,84 m	Italy	Netherlands	Attacking Midfield	False	€50.00m Last update: Jun 5, 2024	540'	7	-
Nov 2, 2000 (23)	1,85 m	Germany	Canada	Left-Back	False	€50.00m Last update: May 29, 2024	571'	8	-
Dec 20, 1996 (27)	1,76 m	England	England	Right Winger	True	€50.00m Last update: May 27, 2024	777'	9	3
Jun 20, 2001 (23)	1,85 m	France	Portugal	Centre-Forward	False	€50.00m Last update: Jun 3, 2024	20'	1	-
Aug 2, 2000 (24)	1,77 m	England	Ghana	Attacking Midfield	False	€50.00m Last update: May 27, 2024	607'	9	1
Jun 22, 1996 (28)	1,89 m	England	Spain	Central Midfield	False	€50.00m Last update: Jun 7, 2024	55'	2	-
Feb 6, 2000 (24)	1,82 m	Spain	England	Central Midfield	False	€50.00m Last update: May 27, 2024	578'	9	2
Dec 11, 2003 (20)	1,94 m	Italy	Italy	Centre-Back	False	€45.00m Last update: Jun 5, 2024			
May 14, 1994 (30)	1,83 m	France	Brazil	Centre-Back	True	€50.00m Last update: Jun 3, 2024	628'	8	-
Nov 10, 1997 (26)	1,75 m	Italy	Italy	Left-Back	False	€50.00m Last update: Jun 5, 2024	572'	7	1
Feb 8, 1995 (29)	1,77 m	Germany	Germany	Defensive Midfield	False	€50.00m Last update: May 29, 2024	810'	9	-
Mar 16, 1996 (28)	1,85 m	Saudi Arabia	England	Centre-Forward	False	€50.00m Last update: May 27, 2024	619'	7	3
Oct 19, 2004 (19)	1,88 m	England	Ireland	Centre-Forward	False	€45.00m Last update: Oct 1, 2024	85'	4	-
Jan 18, 1998 (26)	1,75 m	England	Argentina	Centre-Back	False	€50.00m Last update: Jul 19, 2024	786'	9	-
Jun 4, 2001 (23)	1,73 m	Spain	Japan	Right Winger	False	€50.00m Last update: Jun 7, 2024	677'	10	2
Jul 9, 1995 (29)	1,90 m	Germany	Portugal	Defensive Midfield	False	€50.00m Last update: Oct 9, 2024	154'	6	-
Apr 11, 2001 (23)	1,82 m	England	Uruguay	Defensive Midfield	False	€50.00m Last update: Oct 1, 2024	256'	5	-
Jul 20, 2001 (23)	1,74 m	Spain	Spain	Left Winger	False	€50.00m Last update: Oct 11, 2024	580'	8	1
Dec 10, 2000 (23)	1,72 m	Germany	Netherlands	Right Midfield	False	€50.00m Last update: May 29, 2024	631'	10	1
Mar 28, 1996 (28)	1,86 m	Italy	France	Centre-Back	False	€50.00m Last update: Jun 5, 2024	510'	7	-
Feb 25, 2005 (19)	1,75 m	Spain	Türkiye	Right Winger	False	€45.00m Last update: Jul 18, 2024	291'	10	-
May 23, 2001 (23)	1,86 m	England	Wales	Right Winger	False	€48.00m Last update: May 27, 2024	659'	10	6
May 22, 2001 (23)	1,93 m	England	Netherlands	Centre-Forward	False	€50.00m Last update: Jun 5, 2024	510'	10	1
Dec 4, 1996 (27)	1,78 m	England	Portugal	Centre-Forward	False	€50.00m Last update: May 27, 2024	623'	9	4
Sep 14, 2002 (22)	1,84 m	England	Senegal	Central Midfield	False	€45.00m Last update: May 27, 2024	473'	10	2
Sep 14, 1997 (27)	1,86 m	England	England	Centre-Forward	False	€45.00m Last update: Oct 1, 2024	604'	8	3
Oct 5, 1998 (26)	1,78 m	Germany	Argentina	Central Midfield	False	€45.00m Last update: May 29, 2024	99'	5	-
Nov 28, 2002 (21)	1,88 m	England	Italy	Left-Back	False	€45.00m Last update: May 27, 2024	691'	9	-
Sep 29, 2000 (24)	1,97 m	Spain	Georgia	Goalkeeper	False	€45.00m Last update: Jul 18, 2024	810'	9	-
Sep 13, 1999 (25)	1,73 m	England	Spain	Right-Back	False	€45.00m Last update: May 27, 2024	718'	8	1
Feb 2, 1999 (25)	1,94 m	Germany	Burkina Faso	Centre-Back	False	€45.00m Last update: May 29, 2024	896'	10	-
May 25, 1999 (25)	1,94 m	England	France	Centre-Back	False	€45.00m Last update: May 27, 2024	750'	9	2
Oct 27, 1998 (25)	1,86 m	Germany	France	Centre-Back	False	€45.00m Last update: May 29, 2024	805'	9	1
Sep 20, 1995 (29)	1,71 m	Germany	Spain	Left-Back	False	€45.00m Last update: May 29, 2024	760'	10	2
Jan 16, 1997 (27)	1,92 m	England	Spain	Centre-Back	False	€45.00m Last update: May 27, 2024	810'	9	-
Aug 25, 2001 (23)	1,86 m	Portugal	Portugal	Centre-Back	False	€45.00m Last update: Jun 6, 2024	753'	10	1
Jul 13, 2000 (24)	1,82 m	England	England	Centre-Back	False	€45.00m Last update: Oct 1, 2024	810'	9	1
Jan 14, 2000 (24)	1,78 m	France	Canada	Centre-Forward	False	€45.00m Last update: Oct 7, 2024	983'	13	8
May 19, 2002 (22)	1,88 m	England	Italy	Centre-Back	False	€45.00m Last update: Jul 18, 2024	473'	8	1
Sep 19, 1999 (25)	1,86 m	Portugal	Portugal	Goalkeeper	False	€45.00m Last update: Jul 18, 2024	1.020'	11	-
May 27, 1999 (25)	1,83 m	England	Brazil	Centre-Forward	False	€45.00m Last update: May 27, 2024	570'	8	3
Jul 8, 1992 (32)	1,84 m	England	Korea, South	Left Winger	True	€45.00m Last update: May 27, 2024	549'	7	2
Feb 8, 1994 (30)	1,78 m	Italy	Türkiye	Defensive Midfield	False	€45.00m Last update: Jun 5, 2024	613'	8	2
May 20, 1997 (27)	1,78 m	England	Japan	Left Winger	False	€45.00m Last update: May 27, 2024	624'	7	1
Jan 12, 2000 (24)	1,95 m	England	Netherlands	Centre-Back	False	€45.00m Last update: May 27, 2024			
Nov 15, 1996 (27)	1,90 m	Germany	South Korea	Centre-Back	False	€45.00m Last update: May 29, 2024	776'	9	1
Jun 28, 1991 (33)	1,81 m	England	Belgium	Attacking Midfield	False	€45.00m Last update: Oct 1, 2024	404'	6	1
Apr 20, 2003 (21)	1,79 m	Netherlands	Belgium	Right Winger	False	€45.00m Last update: May 31, 2024	734'	10	2
Jul 19, 1995 (29)	1,88 m	England	Switzerland	Centre-Back	False	€45.00m Last update: May 27, 2024	843'	10	-
Jul 7, 1999 (25)	1,83 m	Italy	Brazil	Central Midfield	False	€40.00m Last update: Jun 5, 2024	868'	10	1
Apr 24, 2007 (17)	1,76 m	Brazil	Brazil	Right Winger	False	€40.00m Last update: Sep 27, 2024			
Mar 10, 2002 (22)	1,78 m	England	Netherlands	Left-Back	False	€40.00m Last update: May 29, 2024	241'	10	-
Jun 27, 2002 (22)	1,95 m	England	England	Centre-Back	False	€42.00m Last update: May 27, 2024	180'	2	-
Apr 27, 2005 (19)	1,83 m	Germany	France U21	Left Winger	False	€40.00m Last update: May 29, 2024	158'	5	-
Jan 22, 2007 (17)	1,84 m	Spain	Spain	Centre-Back	False	€40.00m Last update: Oct 11, 2024	808'	11	-
Jun 3, 2005 (19)	1,81 m	France	France U23	Left Winger	False	€40.00m Last update: Oct 7, 2024	236'	6	-
Jul 17, 2002 (22)	1,75 m	Germany	France U21	Attacking Midfield	False	€42.00m Last update: Oct 9, 2024	683'	9	5
Oct 16, 2001 (23)	1,87 m	France	Ecuador	Centre-Back	False	€40.00m Last update: Oct 7, 2024	747'	9	-
Aug 27, 1998 (26)	1,83 m	England	Portugal	Central Midfield	False	€40.00m Last update: Oct 1, 2024	228'	7	1
Aug 9, 1997 (27)	1,78 m	England	Jamaica	Right Winger	False	€42.00m Last update: May 27, 2024	447'	8	-
Dec 17, 2002 (21)	1,84 m	Germany	France U21	Centre-Back	False	€40.00m Last update: May 29, 2024	648'	8	-
Oct 30, 2003 (20)	1,87 m	Portugal	Portugal	Centre-Back	False	€40.00m Last update: Oct 8, 2024	544'	7	1
Dec 5, 1998 (25)	1,87 m	France	France	Centre-Forward	False	€40.00m Last update: Oct 7, 2024	366'	9	2
Nov 21, 2004 (19)	1,69 m	England	England	Right-Back	False	€40.00m Last update: Oct 1, 2024	846'	10	-
Apr 18, 2001 (23)	1,83 m	Netherlands	Mexico	Centre-Forward	False	€40.00m Last update: May 31, 2024	497'	7	4
Dec 4, 2003 (20)	1,90 m	Portugal	Ivory Coast	Centre-Back	False	€40.00m Last update: Jun 6, 2024	700'	10	-
Jun 25, 1999 (25)	1,85 m	Portugal	Denmark	Defensive Midfield	True	€40.00m Last update: Jun 6, 2024	762'	9	-
Jul 4, 2002 (22)	1,84 m	England	Brazil	Centre-Back	False	€40.00m Last update: Oct 1, 2024	630'	7	-
Feb 12, 2001 (23)	1,76 m	England	Brazil	Central Midfield	False	€40.00m Last update: Oct 1, 2024	637'	8	-
Jan 9, 2002 (22)	1,84 m	Germany	Ecuador	Centre-Back	False	€40.00m Last update: May 29, 2024	691'	9	1
Apr 25, 2000 (24)	1,88 m	Spain	Spain	Attacking Midfield	False	€40.00m Last update: Oct 11, 2024	630'	9	5
Jun 20, 2001 (23)	1,87 m	England	Senegal	Centre-Forward	False	€40.00m Last update: Oct 1, 2024	555'	8	4
Oct 18, 2003 (20)	1,75 m	Spain	Spain	Left-Back	False	€40.00m Last update: Jun 7, 2024	726'	10	-
May 16, 2002 (22)	1,90 m	England	Netherlands	Central Midfield	False	€40.00m Last update: Oct 1, 2024	810'	9	-
Apr 21, 1997 (27)	1,81 m	Spain	Spain	Centre-Forward	True	€40.00m Last update: Oct 11, 2024	515'	9	-
Dec 19, 1997 (26)	1,85 m	Italy	England	Centre-Back	False	€40.00m Last update: Jun 5, 2024	714'	8	-
Jun 17, 2001 (23)	1,79 m	England	Netherlands	Centre-Back	False	€38.00m Last update: May 27, 2024	568'	8	-
Mar 18, 1999 (25)	1,83 m	England	Portugal	Right-Back	False	€40.00m Last update: Oct 1, 2024	963'	11	-
Feb 18, 1995 (29)	1,80 m	England	Netherlands	Centre-Back	False	€40.00m Last update: May 27, 2024	3'	2	-
May 23, 1997 (27)	1,94 m	England	England	Centre-Back	False	€38.00m Last update: Oct 1, 2024	810'	9	-
Sep 18, 1998 (26)	1,77 m	Italy	USA	Right Winger	False	€40.00m Last update: Jun 5, 2024	720'	9	6
Dec 6, 1997 (26)	1,96 m	Germany	Switzerland	Goalkeeper	False	€40.00m Last update: May 29, 2024	765'	9	-
Feb 7, 1999 (25)	1,83 m	Germany	Egypt	Centre-Forward	False	€40.00m Last update: Oct 9, 2024	747'	9	9
Mar 12, 1996 (28)	1,87 m	Germany	Guinea	Centre-Forward	False	€40.00m Last update: May 29, 2024	443'	6	6
Jan 7, 1997 (27)	1,84 m	Spain	Spain	Attacking Midfield	False	€40.00m Last update: Jun 7, 2024	484'	8	1
Jan 19, 1999 (25)	1,76 m	Germany	Netherlands	Right Winger	False	€40.00m Last update: May 29, 2024	281'	7	1
Aug 3, 1999 (25)	1,70 m	Spain	Morocco	Attacking Midfield	False	€40.00m Last update: Jun 7, 2024	126'	6	1
Feb 14, 1996 (28)	1,84 m	France	France	Left-Back	False	€40.00m Last update: Jun 3, 2024			
Jan 27, 2000 (24)	1,71 m	England	England	Attacking Midfield	False	€40.00m Last update: May 27, 2024	510'	6	1
May 2, 1996 (28)	1,85 m	Germany	Germany	Attacking Midfield	False	€40.00m Last update: May 29, 2024	718'	9	1
Jun 13, 1996 (28)	1,81 m	Germany	France	Left Winger	False	€40.00m Last update: Oct 9, 2024	298'	8	1
Dec 1, 1999 (24)	1,91 m	Germany	Germany	Centre-Back	False	€40.00m Last update: May 29, 2024	703'	8	-
Feb 25, 1999 (25)	1,96 m	France	Italy	Goalkeeper	False	€40.00m Last update: Jun 3, 2024	540'	6	-
Aug 14, 1996 (28)	1,86 m	England	Brazil	Central Midfield	False	€40.00m Last update: May 27, 2024	721'	9	1
Nov 11, 1996 (27)	1,87 m	Spain	Spain	Centre-Back	False	€40.00m Last update: Jun 7, 2024	720'	8	-
Jul 14, 1995 (29)	1,76 m	Germany	Germany	Left Winger	False	€40.00m Last update: May 29, 2024	648'	9	2
Aug 7, 1999 (25)	1,71 m	England	Cameroon	Right Winger	False	€40.00m Last update: May 27, 2024	644'	8	6
May 8, 2000 (24)	1,81 m	England	Italy	Central Midfield	False	€38.00m Last update: May 27, 2024	293'	6	-
Oct 20, 1997 (26)	1,74 m	Italy	Nigeria	Second Striker	False	€40.00m Last update: Jun 5, 2024	522'	7	3
