age,height,captain,cost,goals_amount,minutes_per_game,club_Turkiye,club_Italy,club_France,club_Spain,club_Netherlands,club_Germany,club_Portugal,club_Saudi_arabia,club_Brazil,club_Ukraine,club_England,national_Hungary,national_France,national_Jamaica,national_Croatia,national_Sweden,national_Switzerland,national_Burkina_faso,national_England,national_Morocco,national_Uruguay,national_Spain,national_Algeria,national_Guinea,national_Norway,national_Georgia,national_Ghana,national_Mali,national_Ukraine,national_Slovakia,national_Slovenia,national_Senegal,national_Nigeria,national_Belgium,national_Argentina,national_Germany,national_Portugal,national_Brazil,national_Denmark,national_Ivory_coast,national_South_korea,national_Usa,national_Colombia,national_Ecuador,national_Italy,national_Turkiye,national_Egypt,national_Mexico,national_Cote_d_ivoire,national_Netherlands,national_Ireland,national_Cameroon,national_Japan,national_Wales,national_Canada,national_Serbia,target
0.4375,0.2500000000000002,0,1.0,0.3333333333333333,0.8959967320261437,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,left-winger
0.5625,0.46428571428571463,0,0.5757575757575758,0.25,0.9517156862745098,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,central-midfield
0.5,0.6785714285714283,0,0.5151515151515151,0.08333333333333333,0.8819172113289759,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,defensive-midfield
0.0,0.3928571428571432,0,0.696969696969697,0.4166666666666667,0.8617647058823529,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,right-winger
0.375,0.5000000000000004,0,0.2727272727272727,0.25,0.7549019607843137,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,left-winger
0.25,0.2857142857142859,0,0.5757575757575758,0.5,0.7980392156862745,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attacking-midfield
0.875,0.6785714285714283,0,0.3939393939393939,0.8333333333333334,0.8519607843137255,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,centre-forward
0.4375,0.07142857142857148,0,0.696969696969697,0.08333333333333333,0.5854341736694677,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,right-winger
0.625,0.3928571428571432,0,0.2727272727272727,0.4166666666666667,0.6530501089324618,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,left-winger
0.625,0.6428571428571433,0,0.2727272727272727,0.0,0.8142156862745098,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,centre-back
0.5,0.7499999999999998,0,0.21212121212121213,0.0,0.8681372549019607,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,centre-back
0.5,0.6071428571428577,0,0.24242424242424243,0.16666666666666666,0.8169117647058823,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,centre-forward
0.375,0.3214285714285717,0,0.24242424242424243,0.0,0.8209558823529411,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,central-midfield
0.625,0.21428571428571447,0,0.2727272727272727,0.08333333333333333,0.8735294117647058,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,central-midfield
0.5625,0.6428571428571433,0,0.21212121212121213,1.0,0.9852941176470588,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,centre-forward
